Wafer_ID,Lot_ID,Factory,Shift,Process_Mode,Product_Type,Material_Supplier,Chamber_ID,Temperature,Chamber_Pressure,Gas_Flow,Etch_Rate,Chamber_Humidity,Particle_Count,Thickness_Uniformity,Voltage_Stability,Cycle_Time,Defect
WAFER-00001,LOT-033,A,Day,Normal,Advanced,,CH-04,479.66,2.596,120.03,1.575,33.3,20.2,0.9561,,35.68,0
WAFER-00002,LOT-035,B,Night,Normal,Standard,S1,CH-02,458.02,2.543,117.65,1.574,32.49,14.1,0.9506,0.974,28.96,0
WAFER-00003,LOT-009,A,Day,Normal,Standard,,CH-02,463.43,2.372,122.07,1.559,31.98,22.4,,0.9735,24.75,0
WAFER-00004,LOT-021,A,Day,Normal,Advanced,S2,CH-01,477.04,2.61,117.59,1.906,40.23,12.4,0.9683,0.9854,28.82,0
WAFER-00005,LOT-019,B,Day,High_Speed,Standard,S1,CH-02,501.19,2.193,132.0,1.52,32.2,11.9,0.9377,0.9724,29.77,0
WAFER-00006,LOT-002,C,Night,Normal,Standard,S1,CH-03,480.79,2.214,115.73,1.599,48.44,25.4,0.9489,0.9757,30.1,0
WAFER-00007,LOT-007,A,Day,High_Speed,Premium,S1,CH-01,475.23,2.503,,1.699,41.95,24.9,0.9606,0.9899,34.67,0
WAFER-00008,LOT-016,A,Day,Normal,Standard,S1,CH-03,478.3,2.33,119.98,1.453,43.9,31.6,0.9512,0.977,32.09,0
WAFER-00009,LOT-034,A,Day,Normal,Standard,S1,CH-04,465.51,2.577,119.99,1.581,31.17,12.8,0.9284,0.9662,30.62,0
WAFER-00010,LOT-011,B,Day,High_Speed,Standard,S1,CH-03,488.22,2.74,122.24,1.466,32.98,20.7,0.8939,0.9577,34.72,0
WAFER-00011,LOT-025,B,Night,Normal,Advanced,S1,CH-02,512.93,2.277,134.35,1.522,35.44,22.2,0.8998,0.9528,27.45,0
WAFER-00012,LOT-004,A,Night,High_Speed,Advanced,S1,CH-04,467.51,2.224,118.79,1.516,40.81,19.9,0.9427,0.9691,24.13,0
WAFER-00013,LOT-004,B,Day,High_Speed,Premium,S2,CH-02,489.51,2.299,120.5,1.255,37.9,15.3,0.8836,0.9734,31.03,0
WAFER-00014,LOT-008,B,Day,Normal,Standard,S2,CH-03,482.75,2.07,107.95,1.462,40.55,15.3,0.8844,0.9763,35.29,0
WAFER-00015,LOT-033,A,Day,Normal,Premium,S2,CH-04,485.9,,113.77,1.575,48.78,12.6,0.8952,0.9655,34.27,1
WAFER-00016,LOT-033,B,Day,Normal,Standard,S2,CH-02,479.19,2.638,124.38,1.423,41.23,23.6,0.9327,0.9645,29.36,0
WAFER-00017,LOT-009,C,Day,Normal,Advanced,S3,CH-01,474.52,2.332,125.29,1.512,47.12,19.9,0.9146,0.9957,33.02,0
WAFER-00018,LOT-015,A,Day,Normal,Premium,S2,CH-03,467.73,2.474,116.08,1.42,30.88,23.0,0.9311,0.9866,31.32,0
WAFER-00019,LOT-019,C,Night,Normal,Premium,S3,CH-01,469.13,2.495,109.61,1.467,36.61,17.7,0.9191,0.9715,27.65,0
WAFER-00020,LOT-036,C,Day,Normal,Standard,S3,CH-03,490.54,2.255,120.55,1.512,37.19,16.8,0.9209,0.9618,32.79,0
WAFER-00021,LOT-017,A,Night,High_Speed,Standard,S1,CH-04,475.81,2.458,128.66,1.613,31.62,85.0,0.9477,0.9681,34.29,1
WAFER-00022,LOT-035,A,Day,Normal,Standard,S1,CH-04,460.61,2.468,112.23,1.554,35.73,20.0,0.9149,0.9499,29.93,0
WAFER-00023,LOT-015,A,Day,High_Speed,Standard,S2,CH-03,481.8,2.48,113.79,1.478,25.03,17.2,0.9168,0.9802,29.4,0
WAFER-00024,LOT-021,C,Day,Normal,Standard,S1,CH-01,470.01,2.29,108.16,1.594,35.13,26.8,0.9284,0.9775,26.13,0
WAFER-00025,LOT-025,B,Night,Normal,Advanced,S2,CH-04,477.43,2.95,127.07,1.771,41.54,18.6,0.9067,0.965,34.86,0
WAFER-00026,LOT-028,A,Day,High_Speed,Standard,S3,CH-01,489.98,2.209,112.96,1.503,24.6,22.5,0.9794,0.9745,24.69,0
WAFER-00027,LOT-020,A,Day,Normal,Standard,S1,CH-02,466.16,3.018,116.94,1.431,39.77,19.3,0.9407,0.9756,33.34,0
WAFER-00028,LOT-013,B,Day,Normal,Advanced,S1,CH-01,487.44,3.136,136.49,1.56,40.23,16.4,0.9402,0.9829,30.75,0
WAFER-00029,LOT-033,C,Day,High_Speed,Advanced,S3,CH-01,477.04,2.719,116.95,1.593,35.52,12.6,0.9074,0.9675,24.99,0
WAFER-00030,LOT-033,C,Day,Normal,Premium,S1,CH-04,481.52,2.372,122.54,1.576,38.5,22.6,0.9132,0.976,33.2,0
WAFER-00031,LOT-011,A,Day,Normal,Standard,S3,CH-03,490.72,2.398,138.8,1.607,24.68,18.0,0.9648,0.9618,30.84,0
WAFER-00032,LOT-038,B,Day,Normal,Standard,S2,CH-01,482.4,2.485,118.5,1.565,35.24,22.3,0.9419,0.9839,28.55,0
WAFER-00033,LOT-010,A,Day,High_Speed,Premium,S2,CH-04,486.49,2.624,120.54,1.353,35.54,16.6,0.9621,0.978,28.02,0
WAFER-00034,LOT-001,C,Day,Normal,Standard,S1,CH-02,469.29,2.46,117.07,1.691,32.99,27.2,0.9187,0.9735,27.9,0
WAFER-00035,LOT-010,A,Day,Normal,Advanced,S2,CH-01,497.99,2.335,119.22,1.52,31.64,14.3,0.9631,0.9608,34.27,0
WAFER-00036,LOT-017,B,Day,Normal,Premium,S1,CH-01,467.42,,116.04,1.478,31.95,20.5,0.9321,0.9615,35.24,0
WAFER-00037,LOT-014,B,Day,Normal,Advanced,S1,CH-03,490.83,2.219,113.96,1.465,42.75,16.4,0.9195,0.9752,31.93,0
WAFER-00038,LOT-006,B,Day,High_Speed,Advanced,S2,CH-03,481.32,2.862,126.9,1.368,42.9,23.8,0.9559,0.9842,32.79,0
WAFER-00039,LOT-023,C,Night,Normal,Advanced,S2,CH-01,472.18,2.457,109.81,1.684,39.81,23.1,0.902,0.9737,33.47,0
WAFER-00040,LOT-005,A,Day,High_Speed,Advanced,S2,CH-01,470.32,1.392,116.43,1.677,38.47,20.4,0.9163,0.9956,24.95,1
WAFER-00041,LOT-024,A,Day,Normal,Standard,S1,CH-04,484.99,2.403,118.89,1.625,36.3,18.3,0.9222,0.9621,35.02,0
WAFER-00042,LOT-031,A,Day,Normal,Premium,S3,CH-04,501.59,2.273,119.4,1.398,,15.9,0.9275,0.9633,31.87,0
WAFER-00043,LOT-007,C,Night,Normal,Advanced,S1,CH-04,478.13,2.785,131.35,1.598,,29.3,0.9396,0.9578,31.01,1
WAFER-00044,LOT-006,A,Night,High_Speed,Advanced,S2,CH-02,493.35,2.492,109.68,1.4,36.16,14.4,0.9621,0.966,23.66,0
WAFER-00045,LOT-014,B,Night,Normal,Advanced,S1,CH-02,476.04,2.069,112.04,1.635,34.63,21.4,0.9406,0.9743,31.82,0
WAFER-00046,LOT-025,A,Day,Normal,Standard,S3,CH-02,482.3,2.278,115.1,1.316,31.54,13.5,0.9615,0.9584,24.7,0
WAFER-00047,LOT-034,C,Day,High_Speed,Advanced,S3,CH-03,487.7,2.364,118.04,1.584,33.83,14.8,0.9251,0.9861,32.06,0
WAFER-00048,LOT-014,C,Day,High_Speed,Standard,S1,CH-04,499.58,2.442,110.69,1.631,39.69,26.3,0.9171,0.9709,30.9,0
WAFER-00049,LOT-018,B,Day,Normal,Standard,S2,CH-01,487.84,2.686,117.02,1.653,34.17,15.5,0.9503,0.994,32.26,0
WAFER-00050,LOT-031,C,Day,Normal,Advanced,S1,CH-03,481.18,2.399,127.75,1.62,34.29,17.6,0.8999,0.9624,27.9,0
WAFER-00051,LOT-003,B,Day,Normal,Advanced,S1,CH-01,487.14,2.585,128.06,1.58,30.46,10.3,,0.965,30.67,0
WAFER-00052,LOT-011,B,Day,Normal,Advanced,S1,CH-01,469.2,2.665,113.64,1.555,37.66,8.6,0.9332,0.9886,27.79,0
WAFER-00053,LOT-029,B,Day,High_Speed,Advanced,S1,CH-03,495.92,2.7,118.32,1.749,30.15,16.6,0.9053,0.9704,23.93,1
WAFER-00054,LOT-026,C,Night,High_Speed,Standard,S2,CH-03,475.9,2.246,101.83,1.737,29.62,21.8,0.9317,0.9812,29.23,0
WAFER-00055,LOT-033,A,Day,Normal,Advanced,S2,CH-01,466.68,2.686,111.12,1.529,41.79,13.8,0.9221,0.9735,30.83,0
WAFER-00056,LOT-009,B,Day,High_Speed,Advanced,S3,CH-02,483.59,2.44,132.43,1.487,33.0,26.7,0.9581,0.9771,26.45,0
WAFER-00057,LOT-011,A,Day,High_Speed,Advanced,S3,CH-02,497.68,2.501,127.38,1.605,46.27,15.9,0.9314,0.9733,22.43,0
WAFER-00058,LOT-032,A,Day,Normal,Premium,S2,CH-02,504.21,2.387,118.69,1.552,34.95,16.9,0.925,0.9716,23.25,0
WAFER-00059,LOT-006,C,Day,Normal,Premium,S2,CH-01,482.37,2.231,117.65,1.509,30.48,14.9,0.9133,0.975,32.54,0
WAFER-00060,LOT-022,A,Day,Normal,Standard,S1,CH-04,496.16,2.455,111.38,1.44,32.67,9.9,0.9166,0.9804,30.47,0
WAFER-00061,LOT-031,A,Day,High_Speed,Standard,S2,CH-04,516.81,2.576,121.05,1.556,38.83,19.1,0.933,0.9708,33.53,0
WAFER-00062,LOT-039,C,Day,Normal,Standard,S2,CH-04,487.92,2.317,105.24,1.467,33.85,22.7,0.9729,0.9599,34.62,0
WAFER-00063,LOT-018,A,Night,Normal,Standard,S3,CH-03,428.75,2.21,130.26,1.61,38.74,16.9,0.9256,0.9618,33.4,0
WAFER-00064,LOT-028,A,Night,Normal,Standard,S1,CH-04,493.11,2.553,121.24,1.699,30.43,22.9,0.9381,,30.85,0
WAFER-00065,LOT-039,C,Night,Normal,Advanced,S1,CH-02,463.5,2.783,,1.465,37.3,19.3,0.9161,0.9631,36.34,0
