Product_ID,Factory,Line,Shift,Product_Type,Process_Mode,Defect
CHIP-00001,A,L3,Night,Standard,High_Speed,0
CHIP-00002,C,L1,Night,Advanced,Normal,0
CHIP-00003,B,L1,Day,Advanced,High_Speed,1
CHIP-00004,B,L2,Day,Premium,Normal,0
CHIP-00005,A,L1,Night,Standard,High_Speed,0
CHIP-00006,C,L1,Night,Premium,Normal,0
CHIP-00007,A,L1,Day,Standard,Normal,0
CHIP-00008,C,L2,Night,Premium,High_Speed,0
CHIP-00009,B,L2,Day,Standard,Normal,0
CHIP-00010,A,L2,Day,Advanced,Normal,0
CHIP-00011,B,L2,Night,Advanced,High_Speed,0
CHIP-00012,C,L3,Day,Premium,Normal,0
CHIP-00013,C,L1,Day,Standard,Normal,0
CHIP-00014,A,L1,Night,Advanced,Normal,0
CHIP-00015,A,L3,Day,Standard,High_Speed,0
CHIP-00016,A,L2,Night,Standard,High_Speed,0
CHIP-00017,C,L1,Night,Premium,Normal,0
CHIP-00018,A,L3,Night,Advanced,Normal,0
CHIP-00019,A,L1,Night,Advanced,Normal,0
CHIP-00020,B,L2,Night,Advanced,Normal,0
CHIP-00021,C,L1,Day,Premium,Normal,0
CHIP-00022,A,L2,Night,Standard,Normal,0
CHIP-00023,C,L1,Day,Advanced,Normal,0
CHIP-00024,A,L2,Night,Standard,High_Speed,0
CHIP-00025,B,L3,Day,Advanced,Normal,0
CHIP-00026,B,L2,Night,Advanced,Normal,0
CHIP-00027,C,L1,Day,Premium,Normal,0
CHIP-00028,C,L1,Day,Premium,High_Speed,0
CHIP-00029,A,L3,Night,Standard,Normal,0
CHIP-00030,B,L3,Day,Advanced,High_Speed,0
CHIP-00031,A,L1,Day,Premium,Normal,0
CHIP-00032,A,L1,Night,Standard,Normal,0
CHIP-00033,C,L3,Day,Standard,Normal,0
CHIP-00034,B,L3,Day,Advanced,Normal,0
CHIP-00035,C,L3,Day,Standard,Normal,0
CHIP-00036,A,L2,Night,Standard,Normal,0
CHIP-00037,C,L1,Day,Premium,Normal,0
CHIP-00038,C,L3,Day,Advanced,Normal,0
CHIP-00039,B,L3,Night,Premium,Normal,0
CHIP-00040,A,L1,Night,Advanced,Normal,0
CHIP-00041,C,L2,Night,Advanced,Normal,0
CHIP-00042,C,L1,Day,Premium,Normal,0
CHIP-00043,A,L1,Night,Standard,High_Speed,0
CHIP-00044,C,L3,Night,Advanced,Normal,0
CHIP-00045,C,L1,Night,Premium,Normal,1
CHIP-00046,A,L2,Night,Advanced,High_Speed,0
CHIP-00047,B,L1,Night,Standard,High_Speed,0
CHIP-00048,A,L1,Night,Standard,Normal,0
CHIP-00049,B,L2,Night,Standard,High_Speed,0
CHIP-00050,C,L1,Night,Advanced,High_Speed,0
CHIP-00051,C,L3,Day,Advanced,High_Speed,0
CHIP-00052,A,L1,Night,Premium,Normal,0
CHIP-00053,B,L2,Day,Premium,Normal,1
CHIP-00054,B,L3,Day,Advanced,High_Speed,0
CHIP-00055,B,L2,Day,Advanced,Normal,0
CHIP-00056,C,L1,Day,Standard,High_Speed,0
CHIP-00057,B,L3,Day,Advanced,Normal,0
CHIP-00058,A,L1,Day,Advanced,Normal,0
CHIP-00059,A,L1,Night,Advanced,High_Speed,0
CHIP-00060,C,L3,Night,Advanced,Normal,0
CHIP-00061,A,L1,Day,Premium,Normal,0
CHIP-00062,B,L2,Day,Premium,High_Speed,0
CHIP-00063,C,L1,Day,Standard,High_Speed,0
CHIP-00064,C,L3,Night,Premium,High_Speed,0
CHIP-00065,B,L2,Day,Standard,High_Speed,0
CHIP-00066,A,L2,Day,Premium,Normal,1
CHIP-00067,B,L2,Day,Advanced,Normal,0
CHIP-00068,B,L1,Day,Advanced,Normal,0
CHIP-00069,B,L1,Night,Advanced,Normal,0
CHIP-00070,A,L3,Night,Advanced,Normal,0
CHIP-00071,B,L3,Day,Premium,Normal,0
CHIP-00072,B,L3,Day,Premium,Normal,0
CHIP-00073,C,L3,Night,Advanced,Normal,0
CHIP-00074,C,L2,Night,Premium,Normal,1
CHIP-00075,A,L2,Night,Standard,Normal,0
CHIP-00076,A,L2,Night,Standard,Normal,0
CHIP-00077,B,L1,Night,Standard,Normal,0
CHIP-00078,B,L2,Day,Premium,Normal,0
CHIP-00079,A,L1,Day,Advanced,Normal,0
CHIP-00080,C,L2,Night,Advanced,High_Speed,1
CHIP-00081,C,L3,Day,Premium,Normal,0
CHIP-00082,C,L2,Day,Premium,High_Speed,0
CHIP-00083,B,L2,Night,Standard,High_Speed,0
CHIP-00084,C,L3,Day,Advanced,Normal,0
CHIP-00085,C,L3,Day,Advanced,Normal,0
CHIP-00086,B,L3,Day,Standard,High_Speed,0
CHIP-00087,A,L3,Day,Standard,Normal,0
CHIP-00088,A,L1,Day,Advanced,High_Speed,0
CHIP-00089,A,L2,Day,Standard,Normal,0
CHIP-00090,C,L3,Day,Premium,Normal,0
CHIP-00091,B,L3,Night,Premium,High_Speed,0
CHIP-00092,C,L2,Day,Advanced,Normal,0
CHIP-00093,B,L2,Night,Advanced,Normal,0
CHIP-00094,A,L3,Night,Standard,Normal,0
CHIP-00095,B,L2,Day,Advanced,High_Speed,0
CHIP-00096,A,L1,Day,Standard,Normal,0
CHIP-00097,C,L2,Night,Premium,Normal,0
CHIP-00098,A,L2,Day,Advanced,Normal,0
CHIP-00099,A,L2,Day,Advanced,Normal,0
CHIP-00100,B,L3,Day,Advanced,Normal,0
CHIP-00101,C,L3,Night,Premium,Normal,0
CHIP-00102,B,L3,Night,Premium,Normal,1
CHIP-00103,A,L1,Night,Advanced,Normal,0
CHIP-00104,C,L1,Day,Standard,Normal,0
CHIP-00105,A,L1,Day,Advanced,Normal,0
CHIP-00106,B,L2,Day,Premium,Normal,1
CHIP-00107,B,L3,Night,Advanced,Normal,0
CHIP-00108,A,L2,Night,Advanced,Normal,0
CHIP-00109,B,L2,Day,Advanced,Normal,0
CHIP-00110,A,L2,Day,Standard,High_Speed,1
CHIP-00111,A,L3,Day,Advanced,Normal,0
CHIP-00112,B,L1,Night,Premium,High_Speed,0
CHIP-00113,A,L1,Night,Standard,Normal,0
CHIP-00114,A,L2,Day,Standard,High_Speed,0
CHIP-00115,B,L2,Day,Advanced,Normal,0
CHIP-00116,C,L2,Night,Advanced,Normal,0
CHIP-00117,C,L1,Day,Premium,Normal,0
CHIP-00118,C,L2,Night,Standard,High_Speed,0
CHIP-00119,B,L1,Night,Advanced,High_Speed,0
CHIP-00120,B,L1,Night,Advanced,Normal,0
CHIP-00121,B,L2,Day,Advanced,Normal,0
CHIP-00122,C,L1,Night,Advanced,Normal,0
CHIP-00123,B,L2,Day,Advanced,High_Speed,0
CHIP-00124,C,L3,Day,Advanced,Normal,0
CHIP-00125,B,L1,Day,Standard,Normal,0
CHIP-00126,A,L2,Day,Advanced,Normal,0
CHIP-00127,C,L2,Night,Advanced,Normal,0
CHIP-00128,A,L1,Night,Standard,Normal,0
CHIP-00129,C,L3,Day,Premium,High_Speed,0
CHIP-00130,A,L1,Day,Advanced,High_Speed,0
CHIP-00131,B,L3,Day,Standard,Normal,0
CHIP-00132,B,L2,Day,Advanced,High_Speed,0
CHIP-00133,A,L1,Day,Standard,High_Speed,0
CHIP-00134,C,L3,Day,Advanced,Normal,0
CHIP-00135,A,L1,Night,Standard,High_Speed,0
CHIP-00136,B,L1,Day,Standard,High_Speed,0
CHIP-00137,A,L1,Night,Standard,High_Speed,1
CHIP-00138,C,L3,Day,Premium,Normal,0
CHIP-00139,C,L3,Day,Advanced,Normal,0
CHIP-00140,A,L2,Day,Standard,Normal,0
CHIP-00141,C,L3,Day,Advanced,Normal,0
CHIP-00142,C,L3,Day,Advanced,Normal,0
CHIP-00143,A,L1,Day,Advanced,Normal,0
CHIP-00144,C,L3,Night,Advanced,Normal,1
CHIP-00145,A,L1,Day,Standard,Normal,0
CHIP-00146,C,L3,Day,Advanced,High_Speed,0
CHIP-00147,B,L1,Day,Standard,Normal,0
CHIP-00148,C,L1,Day,Premium,Normal,0
CHIP-00149,A,L2,Night,Advanced,Normal,1
CHIP-00150,B,L1,Day,Advanced,High_Speed,0
CHIP-00151,C,L3,Day,Advanced,Normal,0
CHIP-00152,C,L1,Night,Advanced,Normal,0
CHIP-00153,B,L2,Day,Advanced,Normal,0
CHIP-00154,B,L3,Day,Premium,Normal,0
CHIP-00155,B,L2,Night,Advanced,High_Speed,0
CHIP-00156,A,L2,Night,Advanced,Normal,0
CHIP-00157,A,L3,Night,Standard,Normal,0
CHIP-00158,A,L1,Day,Premium,Normal,0
CHIP-00159,A,L1,Day,Standard,High_Speed,0
CHIP-00160,C,L1,Day,Advanced,Normal,0
CHIP-00161,B,L1,Day,Advanced,Normal,0
CHIP-00162,B,L1,Night,Advanced,Normal,0
CHIP-00163,A,L2,Day,Advanced,Normal,0
CHIP-00164,C,L1,Day,Premium,Normal,0
CHIP-00165,A,L2,Day,Advanced,Normal,0
CHIP-00166,A,L2,Day,Standard,High_Speed,0
CHIP-00167,C,L2,Day,Standard,Normal,0
CHIP-00168,A,L2,Day,Advanced,Normal,0
CHIP-00169,C,L1,Night,Advanced,Normal,0
CHIP-00170,A,L2,Day,Standard,High_Speed,0
CHIP-00171,C,L2,Day,Standard,Normal,0
CHIP-00172,A,L3,Day,Standard,Normal,0
CHIP-00173,A,L2,Day,Standard,High_Speed,0
CHIP-00174,B,L2,Day,Advanced,Normal,0
CHIP-00175,B,L2,Day,Advanced,High_Speed,1
CHIP-00176,C,L2,Night,Standard,Normal,0
CHIP-00177,A,L2,Day,Standard,High_Speed,0
CHIP-00178,B,L2,Day,Premium,Normal,0
CHIP-00179,A,L2,Day,Advanced,Normal,0
CHIP-00180,C,L3,Day,Premium,High_Speed,1
CHIP-00181,C,L1,Night,Standard,Normal,0
CHIP-00182,A,L3,Day,Premium,Normal,0
CHIP-00183,A,L3,Day,Advanced,Normal,0
CHIP-00184,C,L1,Night,Advanced,Normal,0
CHIP-00185,C,L1,Day,Premium,Normal,1
CHIP-00186,B,L2,Day,Standard,Normal,0
CHIP-00187,B,L1,Night,Advanced,Normal,0
CHIP-00188,C,L1,Day,Premium,High_Speed,0
CHIP-00189,A,L2,Day,Standard,Normal,0
CHIP-00190,C,L3,Day,Standard,Normal,0
CHIP-00191,C,L1,Day,Advanced,Normal,0
CHIP-00192,C,L3,Day,Premium,High_Speed,0
CHIP-00193,C,L1,Night,Premium,Normal,0
CHIP-00194,C,L1,Day,Advanced,Normal,1
CHIP-00195,A,L1,Night,Premium,High_Speed,0
CHIP-00196,C,L3,Day,Standard,Normal,1
CHIP-00197,A,L3,Day,Standard,Normal,0
CHIP-00198,A,L1,Night,Standard,Normal,0
CHIP-00199,B,L2,Day,Premium,High_Speed,0
CHIP-00200,A,L1,Day,Advanced,High_Speed,0
CHIP-00201,B,L1,Day,Advanced,Normal,0
CHIP-00202,B,L1,Day,Premium,Normal,0
CHIP-00203,A,L3,Day,Standard,Normal,0
CHIP-00204,A,L2,Day,Standard,Normal,0
